"year","month","date","site","transect","survey","sp.richness","sp.mrichness","abundance","div.simpson","div.shannon","order.richness","order.mrichness","order.div.simpson","order.div.shannon","franciscanus.abundance","purpuratus.abundance","urchin.abundance"
2001,8,"2001-08-07","MOHK",1,"QUAD",12,0.64699663922063,344,0.633704029204976,1.26641791852435,8,0.431331092813754,0.617715657111952,1.15255147319147,6,131,137
2001,8,"2001-08-07","MOHK",1,"SWATH",8,0.87287156094397,84,0.751417233560091,1.57661442739646,7,0.763762615825973,0.747448979591837,1.53287692261171,NA,NA,NA
2001,8,"2001-08-07","MOHK",2,"QUAD",10,0.446321842677452,502,0.563372009968096,1.17443674263698,7,0.312425289874216,0.5542610434755,1.08593919310522,10,103,113
2001,8,"2001-08-07","MOHK",2,"SWATH",7,1.0434983894999,45,0.723950617283951,1.54735090511438,6,0.894427190999916,0.704197530864197,1.45801033353411,NA,NA,NA
2001,8,"2001-08-08","CARP",3,"QUAD",11,0.33549685473173,1075,0.680014710654408,1.45529700588777,7,0.213497998465647,0.552064899945917,1.04428472895002,13,191,204
2001,8,"2001-08-08","CARP",3,"SWATH",5,0.585205735980653,73,0.687558641396134,1.33004689366665,4,0.468164588784522,0.626759241884031,1.09462384511926,NA,NA,NA
2001,8,"2001-08-08","CARP",4,"QUAD",8,0.311163936633766,661,0.1998805276011,0.492764818758823,6,0.233372952475324,0.196314665580277,0.453873898066252,1,590,591
2001,8,"2001-08-08","CARP",4,"SWATH",6,0.615587011251092,95,0.249307479224377,0.587733035619896,5,0.512989176042577,0.24797783933518,0.557513938482855,NA,NA,NA
2001,8,"2001-08-08","CARP",6,"QUAD",10,0.355559067267389,791,0.622262782472218,1.18109051345415,7,0.248891347087172,0.536007965720551,0.873188978706445,15,351,366
2001,8,"2001-08-08","CARP",6,"SWATH",8,1.13137084989848,50,0.7968,1.73286136883061,7,0.989949493661166,0.7648,1.56534588402674,NA,NA,NA
2001,8,"2001-08-09","NAPL",1,"QUAD",12,0.628108707108257,365,0.51487333458435,1.19469967561173,8,0.418739138072171,0.368414336648527,0.843179015746601,39,248,287
2001,8,"2001-08-09","NAPL",1,"SWATH",10,0.990147542976674,102,0.795463283352557,1.81573042552879,7,0.693103280083672,0.75682429834679,1.55201945205788,NA,NA,NA
2001,8,"2001-08-09","NAPL",2,"QUAD",13,0.689968360164558,355,0.63066851815116,1.37999391486361,9,0.477670403190848,0.546018647093831,1.11327222390414,26,201,227
2001,8,"2001-08-09","NAPL",2,"SWATH",7,0.927172649945531,57,0.763927362265312,1.64095071592843,6,0.794719414239026,0.734379809172053,1.48310225428105,NA,NA,NA
2001,8,"2001-08-09","NAPL",3,"QUAD",10,0.546358364708153,335,0.616279795054578,1.32966695454461,7,0.382450855295707,0.529561149476498,1.02080991162798,23,193,216
2001,8,"2001-08-09","NAPL",3,"SWATH",8,0.894427190999916,80,0.665625,1.38308791936559,6,0.670820393249937,0.6528125,1.28198431308055,NA,NA,NA
2001,8,"2001-08-09","NAPL",4,"QUAD",10,0.81923192051904,149,0.504932210260799,1.10569119146791,7,0.573462344363328,0.497995585784424,0.987201751506757,4,9,13
